id,name,latitude,longitude
1,Hexagon,36.0072966,-83.94783798
2,Fanatic,35.99192834,-83.94290919
3,Elst,35.99051152,-83.94082903
4,The Oak Room by Abridged,35.98140053,-83.92986626
5,Yee-Haw,35.9779708,-83.92413868
6,Schulz Bräu,35.9771098,-83.926151
7,Next Level,35.97618691,-83.92344865
8,Barrelhouse by Gypsy Circus,35.97570067,-83.92247914
9,Crafty Bastard,35.97433801,-83.92233304
10,Xul,35.97478952,-83.92035114
11,Geezers,35.97503899,-83.92027072
12,Woodruff,35.96568717,-83.91810369
13,Blackhorse,35.96550159,-83.91803777
14,Knox Brew Hub,35.96452002,-83.91994928
15,Last Days of Autumn,35.97598053,-83.91466063
16,Hi-Wire,35.95804631,-83.9063158
17,Honeybee,35.95731778,-83.90899397
18,Alliance,35.95932853,-83.90357621
19,Printshop,35.96037738,-83.89676634
10,Albright Grove,35.95288116,-83.96357892